"Statistics","date","values"
"OTHER/UNKNOWN TOTAL (count)","2017-05 (May)",48
"FMV Sum ($ sum)","2017-05 (May)",NA
"FMV Average ($ mean)","2017-05 (May)",NA
"FMV Median ($ median)","2017-05 (May)",NA
"PTT Paid ($ sum)","2017-05 (May)",NA
"PTT Paid Median ($ median)","2017-05 (May)",NA
"Foreign Involvement Transactions (count)","2017-05 (May)",436
"Foreign Involvement transactions - Residential (count)","2017-05 (May)",402
"Foreign Involvement transactions - Commercial (count)","2017-05 (May)",5
"Foreign Involvement transactions - Other (count)","2017-05 (May)",29
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-05 (May)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-05 (May)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-05 (May)",NA
"Under $1 million (count, foreign involvement transactions)","2017-05 (May)",348
"$1 million - $3 million (count, foreign involvement transactions)","2017-05 (May)",75
"Over $3 million (count, foreign involvement transactions)","2017-05 (May)",13
"Additional Tax Paid ($ sum)","2017-05 (May)",NA
"Total Market Transactions (count)","2017-06 (Jun)",16987
"RESIDENTIAL TOTAL (count)","2017-06 (Jun)",16317
"RESIDENTIAL - ACREAGE (count)","2017-06 (Jun)",830
"RESIDENTIAL - COMMERCE (count)","2017-06 (Jun)",91
"RESIDENTIAL - FARM (count)","2017-06 (Jun)",89
"RESIDENTIAL - MULTI-FAMILY (count)","2017-06 (Jun)",110
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-06 (Jun)",7860
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-06 (Jun)",5552
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-06 (Jun)",135
"RESIDENTIAL - OTHER (count)","2017-06 (Jun)",1650
"COMMERCIAL TOTAL (count)","2017-06 (Jun)",406
"COMMERCIAL - COMMERCE (count)","2017-06 (Jun)",165
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-06 (Jun)",169
"COMMERCIAL - OTHER (count)","2017-06 (Jun)",72
