DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec)
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL TOTAL (count),2119,2047,1477,1194,935,1111,806
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - ACREAGE (count),NA,NA,NA,NA,NA,1,NA
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - COMMERCE (count),7,1,5,4,2,7,5
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - FARM (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - MULTI-FAMILY (count),51,36,37,22,19,13,13
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),539,460,346,272,115,214,175
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - STRATA RESIDENTIAL (count),907,912,745,577,391,576,484
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),10,12,11,8,5,4,4
Mainland/Southwest,METRO VANCOUVER,Vancouver,RESIDENTIAL - OTHER (count),605,626,333,311,403,296,125
Mainland/Southwest,METRO VANCOUVER,Vancouver,COMMERCIAL TOTAL (count),67,39,36,47,26,17,39
Mainland/Southwest,METRO VANCOUVER,Vancouver,COMMERCIAL - COMMERCE (count),32,11,14,32,4,4,32
Mainland/Southwest,METRO VANCOUVER,Vancouver,COMMERCIAL - STRATA NON-RESIDENTIAL (count),23,19,20,10,11,8,6
Mainland/Southwest,METRO VANCOUVER,Vancouver,COMMERCIAL - OTHER (count),12,9,2,5,11,5,1
Mainland/Southwest,METRO VANCOUVER,Vancouver,RECREATIONAL TOTAL (count),NA,1,2,NA,1,1,NA
Mainland/Southwest,METRO VANCOUVER,Vancouver,FARM TOTAL (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,METRO VANCOUVER,Vancouver,OTHER/UNKNOWN TOTAL (count),4,2,1,NA,4,1,5
Mainland/Southwest,METRO VANCOUVER,Vancouver,FMV Sum ($ sum),"$3,518,429,006.26 ","$2,872,267,410.22 ","$2,017,339,486.41 ","$1,898,619,409.78 ","$1,043,145,984.52 ","$1,543,836,175.42 ","$1,629,315,064.52 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,FMV Average ($ mean),"$1,606,588.59 ","$1,374,948.50 ","$1,330,698.87 ","$1,529,910.89 ","$1,079,861.27 ","$1,366,226.70 ","$1,916,841.25 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,FMV Median ($ median),"$757,450.00 ","$709,900.00 ","$689,500.00 ","$724,900.00 ","$635,000.00 ","$787,602.79 ","$733,950.00 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,PTT Paid ($ sum),"$78,120,383.66 ","$61,359,826.98 ","$43,484,078.39 ","$44,386,319.47 ","$23,673,569.78 ","$42,260,668.34 ","$45,434,409.11 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,PTT Paid Median ($ median),"$13,033.01 ","$11,980.00 ","$11,830.00 ","$12,760.00 ","$10,580.00 ","$14,373.00 ","$12,698.00 "
