"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-07 (Jul)",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-08 (Aug)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-09 (Sep)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-10 (Oct)",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-11 (Nov)",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-12 (Dec)",17
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-06 (Jun)",197
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-07 (Jul)",190
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-08 (Aug)",182
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-09 (Sep)",153
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-10 (Oct)",118
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-11 (Nov)",147
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-12 (Dec)",143
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-06 (Jun)",635
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-07 (Jul)",541
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-08 (Aug)",494
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-09 (Sep)",387
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-10 (Oct)",348
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-11 (Nov)",347
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL TOTAL (count)","2016-12 (Dec)",272
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-06 (Jun)",643
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-07 (Jul)",552
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-08 (Aug)",509
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-09 (Sep)",401
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-10 (Oct)",354
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-11 (Nov)",354
"Mainland/Southwest","FRASER VALLEY","Abbotsford","Total Market Transactions (count)","2016-12 (Dec)",286
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-01 (Jan)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-02 (Feb)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-03 (Mar)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-04 (Apr)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-05 (May)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-06 (Jun)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-07 (Jul)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-08 (Aug)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-09 (Sep)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","Additional Tax Paid ($ sum)","2017-10 (Oct)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-06 (Jun)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-07 (Jul)",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-08 (Aug)",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-09 (Sep)",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-10 (Oct)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-11 (Nov)",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2016-12 (Dec)",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-01 (Jan)",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-02 (Feb)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-03 (Mar)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-04 (Apr)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-05 (May)",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-06 (Jun)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-07 (Jul)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-08 (Aug)",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-09 (Sep)",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - COMMERCE (count)","2017-10 (Oct)",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-06 (Jun)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-07 (Jul)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-08 (Aug)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-09 (Sep)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-10 (Oct)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-12 (Dec)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-01 (Jan)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-02 (Feb)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-03 (Mar)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-04 (Apr)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-05 (May)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-06 (Jun)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-07 (Jul)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-08 (Aug)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-09 (Sep)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-10 (Oct)",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-06 (Jun)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-07 (Jul)",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-08 (Aug)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-09 (Sep)",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-10 (Oct)",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-12 (Dec)",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-01 (Jan)",1
